Problem Number,Problem Name,LeetCode Link,Difficulty,Category
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,Dynamic Programming
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,Dynamic Programming
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,Dynamic Programming
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,Dynamic Programming
139,Word Break,https://leetcode.com/problems/word-break/,Medium,Dynamic Programming
1140,Stone Game II,https://leetcode.com/problems/stone-game-ii/,Medium,Dynamic Programming
1289,Minimum Falling Path Sum II,https://leetcode.com/problems/minimum-falling-path-sum-ii/,Hard,Dynamic Programming
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Medium,Dynamic Programming
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,Dynamic Programming
576,Out of Boundary Paths,https://leetcode.com/problems/out-of-boundary-paths/,Medium,Dynamic Programming
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/,Medium,Dynamic Programming
2370,Longest Ideal Subsequence,https://leetcode.com/problems/longest-ideal-subsequence/,Medium,Dynamic Programming
516,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,Medium,Dynamic Programming
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/,Medium,Dynamic Programming
1406,Stone Game III,https://leetcode.com/problems/stone-game-iii/,Hard,Dynamic Programming
2707,Extra Characters in a String,https://leetcode.com/problems/extra-characters-in-a-string/,Medium,Dynamic Programming
494,Target Sum,https://leetcode.com/problems/target-sum/,Medium,Dynamic Programming
377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/,Medium,Dynamic Programming
1155,Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/,Medium,Dynamic Programming
435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,Dynamic Programming
2369,Check if There is a Valid Partition For The Array,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array/,Medium,Dynamic Programming
2054,Two Best Non-Overlapping Events,https://leetcode.com/problems/two-best-non-overlapping-events/,Medium,Dynamic Programming
983,Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets/,Medium,Dynamic Programming
3186,Maximum Total Damage With Spell Casting,https://leetcode.com/problems/maximum-total-damage-with-spell-casting/,Medium,Dynamic Programming
